,ISBN,Book-Title,Book-Author,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Publication_Date,Year-Of-Publication
4251,0156628708,Mrs Dalloway,Virginia Woolf,Harvest Books,http://images.amazon.com/images/P/0156628708.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156628708.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156628708.01.LZZZZZZZ.jpg,1990-01-01,1990.0
4253,0440208459,Burn Marks (V.I. Warshawski Novels (Paperback)),Sara Paretsky,Dell,http://images.amazon.com/images/P/0440208459.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440208459.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440208459.01.LZZZZZZZ.jpg,1991-01-01,1991.0
4264,0060199652,Prodigal Summer,Barbara Kingsolver,HarperCollins,http://images.amazon.com/images/P/0060199652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060199652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4265,034541389X,Flesh and Blood,Jonathan Kellerman,Ballantine Books,http://images.amazon.com/images/P/034541389X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034541389X.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4269,0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,Back Bay Books,http://images.amazon.com/images/P/0316284955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316284955.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4270,0801855926,Friday,Michel Tournier,Johns Hopkins University Press,http://images.amazon.com/images/P/0801855926.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0801855926.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0801855926.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4273,0345412214,The Last Don,MARIO PUZO,Ballantine Books,http://images.amazon.com/images/P/0345412214.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345412214.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345412214.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4275,0451147367,"The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man",Stephen King,New Amer Library,http://images.amazon.com/images/P/0451147367.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451147367.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451147367.01.LZZZZZZZ.jpg,1991-01-01,1991.0
4283,0060987529,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,Regan Books,http://images.amazon.com/images/P/0060987529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4284,0312951426,The Ice House,Minette Walters,St. Martin's Press,http://images.amazon.com/images/P/0312951426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312951426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312951426.01.LZZZZZZZ.jpg,1994-01-01,1994.0
4286,0671567829,The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,Pocket Star,http://images.amazon.com/images/P/0671567829.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671567829.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671567829.01.LZZZZZZZ.jpg,1996-01-01,1996.0
4291,0375703764,House of Leaves,Mark Z. Danielewski,Pantheon Books,http://images.amazon.com/images/P/0375703764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703764.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4292,0553092626,Playing for the Ashes,Elizabeth George,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553092626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553092626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553092626.01.LZZZZZZZ.jpg,1994-01-01,1994.0
4294,0446523321,The Simple Truth,David Baldacci,Warner Books Inc,http://images.amazon.com/images/P/0446523321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446523321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446523321.01.LZZZZZZZ.jpg,1998-01-01,1998.0
4297,0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,Bantam,http://images.amazon.com/images/P/0553277472.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553277472.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553277472.01.LZZZZZZZ.jpg,1984-01-01,1984.0
4304,0446608262,The Lion's Game,Nelson DeMille,Warner Books,http://images.amazon.com/images/P/0446608262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608262.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4313,0380804557,Stardust,Neil Gaiman,Avon,http://images.amazon.com/images/P/0380804557.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380804557.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380804557.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4315,0099245027,The Testament,John Grisham,Trafalgar Square,http://images.amazon.com/images/P/0099245027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0099245027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0099245027.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4320,0525946233,The Darwin Awards II: Unnatural Selection,Wendy Northcutt,Dutton Books,http://images.amazon.com/images/P/0525946233.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525946233.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525946233.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4322,0425161617,The Accidental Tourist,Anne Tyler,Berkley Publishing Group,http://images.amazon.com/images/P/0425161617.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425161617.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425161617.01.LZZZZZZZ.jpg,1998-01-01,1998.0
4330,0861782356,Little Women,Louisa May Alcott,Octopus Publising Group Plc,http://images.amazon.com/images/P/0861782356.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0861782356.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0861782356.01.LZZZZZZZ.jpg,,
4332,0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,Bantam,http://images.amazon.com/images/P/0553560247.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553560247.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553560247.01.LZZZZZZZ.jpg,1993-01-01,1993.0
4363,0064408639,"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0064408639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064408639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064408639.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4365,0553295772,Extreme Measures,Michael Palmer,Bantam Books,http://images.amazon.com/images/P/0553295772.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553295772.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553295772.01.LZZZZZZZ.jpg,1992-01-01,1992.0
4372,0812575717,Ender's Shadow,Orson Scott Card,Tor Books,http://images.amazon.com/images/P/0812575717.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812575717.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812575717.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4389,0449219410,Skin Tight,Carl Hiaasen,Fawcett Books,http://images.amazon.com/images/P/0449219410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449219410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449219410.01.LZZZZZZZ.jpg,1990-01-01,1990.0
4390,0446609781,Beneath the Skin,Nicci French,Warner Books,http://images.amazon.com/images/P/0446609781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446609781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446609781.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4391,0679454446,Lucky You,Carl Hiaasen,Random House Inc,http://images.amazon.com/images/P/0679454446.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679454446.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679454446.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4392,051512608X,The Reef,Nora Roberts,Jove Books,http://images.amazon.com/images/P/051512608X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051512608X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051512608X.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4394,0451124383,Man From St Petersburg,Ken Follett,Penguin Putnam~mass,http://images.amazon.com/images/P/0451124383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451124383.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451124383.01.LZZZZZZZ.jpg,1983-01-01,1983.0
4396,0312978332,Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Jane Heller,St. Martin's Press,http://images.amazon.com/images/P/0312978332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312978332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312978332.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4398,0451408888,The Trials of Tiffany Trott,Isabel Wolff,Onyx Books,http://images.amazon.com/images/P/0451408888.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451408888.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451408888.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4402,0060008776,Pagan Babies,Elmore Leonard,HarperTorch,http://images.amazon.com/images/P/0060008776.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060008776.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060008776.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4403,0553574671,Prime Cut,Diane Mott Davidson,Bantam Books,http://images.amazon.com/images/P/0553574671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553574671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553574671.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4408,0312956126,The Scold's Bridle,Minette Walters,St. Martin's Press,http://images.amazon.com/images/P/0312956126.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312956126.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312956126.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4425,067088300X,The Girls' Guide to Hunting and Fishing,Melissa Bank,Viking Books,http://images.amazon.com/images/P/067088300X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067088300X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067088300X.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4430,0375727345,House of Sand and Fog,Andre Dubus III,Vintage Books,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4433,0446608890,Saving Faith,David Baldacci,Warner Vision,http://images.amazon.com/images/P/0446608890.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608890.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4440,0312983298,Full Speed (Janet Evanovich's Full Series),Janet Evanovich,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312983298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312983298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312983298.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4448,0743437640,The Mulberry Tree,Jude Deveraux,Pocket,http://images.amazon.com/images/P/0743437640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743437640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743437640.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4449,1551668912,Thursday'S At Eight,Debbie Macomber,Mira,http://images.amazon.com/images/P/1551668912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668912.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4460,042515601X,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,Berkley Publishing Group,http://images.amazon.com/images/P/042515601X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042515601X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042515601X.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4465,0140293469,High Fidelity,Nick Hornby,Penguin Books Ltd,http://images.amazon.com/images/P/0140293469.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140293469.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140293469.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4466,0920668372,Love You Forever,Robert N. Munsch,Firefly Books Ltd,http://images.amazon.com/images/P/0920668372.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0920668372.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0920668372.01.LZZZZZZZ.jpg,1986-01-01,1986.0
4467,0375703861,White Teeth: A Novel,Zadie Smith,Vintage Books USA,http://images.amazon.com/images/P/0375703861.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703861.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703861.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4474,0671776975,A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,Norman Maclean,Pocket,http://images.amazon.com/images/P/0671776975.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671776975.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671776975.01.LZZZZZZZ.jpg,1992-01-01,1992.0
4475,0440967694,The Outsiders,S. E. Hinton,Learning Curve,http://images.amazon.com/images/P/0440967694.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440967694.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440967694.01.LZZZZZZZ.jpg,1993-01-01,1993.0
4477,0553149660,The Catcher in the Rye,J. D. Salinger,Bantam Books,http://images.amazon.com/images/P/0553149660.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553149660.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553149660.01.LZZZZZZZ.jpg,,
4478,0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,Berkley Publishing Group,http://images.amazon.com/images/P/0425152251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425152251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425152251.01.LZZZZZZZ.jpg,1996-01-01,1996.0
4479,0312924585,Silence of the Lambs,Thomas Harris,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg,1991-01-01,1991.0
4481,0385479565,The Hot Zone,Richard Preston,Anchor,http://images.amazon.com/images/P/0385479565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385479565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4496,0312274920,Round Ireland With a Fridge,Tony Hawks,St. Martin's Press,http://images.amazon.com/images/P/0312274920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312274920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312274920.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4500,0380791978,The Family Tree,Sheri S. Tepper,Eos,http://images.amazon.com/images/P/0380791978.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380791978.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380791978.01.LZZZZZZZ.jpg,1998-01-01,1998.0
4502,0345409671,"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345409671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345409671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345409671.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4527,0312171838,Bachelor Brothers' Bed &amp; Breakfast,Bill Richardson,St. Martin's Griffin,http://images.amazon.com/images/P/0312171838.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312171838.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312171838.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4530,0671042505,The Last Chance Cafe : A Novel,Linda Lael Miller,Atria,http://images.amazon.com/images/P/0671042505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042505.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4533,0425162443,The Rapture of Canaan,Sheri Reynolds,Berkley Publishing Group,http://images.amazon.com/images/P/0425162443.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425162443.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425162443.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4541,0553802240,The Secret Hour,LUANNE RICE,Bantam,http://images.amazon.com/images/P/0553802240.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553802240.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553802240.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4543,0345423291,What We Keep : A Novel (Ballantine Reader's Circle),Elizabeth Berg,Ballantine Books,http://images.amazon.com/images/P/0345423291.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345423291.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345423291.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4544,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,Jove Books,http://images.amazon.com/images/P/0515132020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515132020.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4546,0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,Jove Books,http://images.amazon.com/images/P/0515131229.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4548,0446679364,The Future Homemakers of America,Laurie Graham,Warner Books,http://images.amazon.com/images/P/0446679364.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446679364.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446679364.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4556,1570613818,"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Nancy Pearl,Sasquatch Books,http://images.amazon.com/images/P/1570613818.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1570613818.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1570613818.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4560,0312199430,One Thousand White Women : The Journals of May Dodd: A Novel,Jim Fergus,St. Martin's Griffin,http://images.amazon.com/images/P/0312199430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312199430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312199430.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4577,038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,Perennial,http://images.amazon.com/images/P/038079487X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038079487X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038079487X.01.LZZZZZZZ.jpg,1998-01-01,1998.0
4578,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,Scribner,http://images.amazon.com/images/P/0684872153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4579,0060926317,Mutant Message Down Under,Marlo Morgan,Perennial,http://images.amazon.com/images/P/0060926317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060926317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060926317.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4588,0312421273,The Corrections: A Novel,Jonathan Franzen,Picador USA,http://images.amazon.com/images/P/0312421273.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312421273.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312421273.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4589,0679454454,Sick Puppy,Carl Hiaasen,Alfred A. Knopf,http://images.amazon.com/images/P/0679454454.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679454454.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679454454.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4601,0399147020,Blood Lure,Nevada Barr,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399147020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399147020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399147020.01.LZZZZZZZ.jpg,2001-01-01,2001.0
4603,0440241162,Nerd in Shining Armor,Vicki Lewis Thompson,Dell Publishing Company,http://images.amazon.com/images/P/0440241162.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241162.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241162.01.LZZZZZZZ.jpg,2003-01-01,2003.0
4608,0786866586,Shopgirl : A Novella,Steve Martin,Hyperion Press,http://images.amazon.com/images/P/0786866586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786866586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786866586.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4639,0156007754,Blindness (Harvest Book),Jose Saramago,Harvest Books,http://images.amazon.com/images/P/0156007754.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156007754.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156007754.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4642,1573226521,The Beach,Alex Garland,Riverhead Books,http://images.amazon.com/images/P/1573226521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573226521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573226521.01.LZZZZZZZ.jpg,1998-01-01,1998.0
4646,1573228214,High Fidelity,Nick Hornby,Riverhead Books,http://images.amazon.com/images/P/1573228214.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573228214.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573228214.01.LZZZZZZZ.jpg,2000-01-01,2000.0
4647,0316780812,Sea Glass: A Novel,Anita Shreve,"Little, Brown",http://images.amazon.com/images/P/0316780812.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316780812.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316780812.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4648,0515119784,Range of Motion,Elizabeth Berg,Jove Books,http://images.amazon.com/images/P/0515119784.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515119784.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515119784.01.LZZZZZZZ.jpg,1996-01-01,1996.0
4662,0515134449,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,Jove Books,http://images.amazon.com/images/P/0515134449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515134449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515134449.01.LZZZZZZZ.jpg,1994-01-01,1994.0
4665,0064407675,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,HarperCollins,http://images.amazon.com/images/P/0064407675.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064407675.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064407675.01.LZZZZZZZ.jpg,1999-01-01,1999.0
4670,0312135653,A Monstrous Regiment of Women,Laurie R. King,St Martins Pr,http://images.amazon.com/images/P/0312135653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312135653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312135653.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4677,0380977788,Coraline,Neil Gaiman,HarperCollins,http://images.amazon.com/images/P/0380977788.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380977788.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4678,0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,Ace Books,http://images.amazon.com/images/P/0441304834.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441304834.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441304834.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4696,0553571818,Long After Midnight,IRIS JOHANSEN,Bantam,http://images.amazon.com/images/P/0553571818.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553571818.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553571818.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4697,0441790348,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,ACE Charter,http://images.amazon.com/images/P/0441790348.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441790348.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441790348.01.LZZZZZZZ.jpg,1995-01-01,1995.0
4713,0553573403,"A Game of Thrones (A Song of Ice and Fire, Book 1)",George R.R. Martin,Spectra Books,http://images.amazon.com/images/P/0553573403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553573403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553573403.01.LZZZZZZZ.jpg,1997-01-01,1997.0
4719,0821739514,Privileged Information,Stephen White,Kensington Pub Corp,http://images.amazon.com/images/P/0821739514.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821739514.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821739514.01.LZZZZZZZ.jpg,1996-01-01,1996.0
4720,0553280147,Till We Meet Again,Judith Krantz,Bantam Books,http://images.amazon.com/images/P/0553280147.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553280147.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553280147.01.LZZZZZZZ.jpg,1989-01-01,1989.0
4723,0345391055,Disclosure,Michael Crichton,Ballantine Books,http://images.amazon.com/images/P/0345391055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345391055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345391055.01.LZZZZZZZ.jpg,1994-01-01,1994.0
4726,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,Villard Books,http://images.amazon.com/images/P/0375760911.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375760911.01.LZZZZZZZ.jpg,2002-01-01,2002.0
4729,068480087X,POSTCARDS,Annie Proulx,Scribner,http://images.amazon.com/images/P/068480087X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068480087X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068480087X.01.LZZZZZZZ.jpg,1994-01-01,1994.0
